simulation_number,delay,leader,commit,commit_time
1,1.23,1,True,2.13
2,0.28,2,True,2.15
3,0.69,3,True,2.15
4,1.57,4,False,0
5,1.31,1,True,2.15
6,0.68,2,True,2.14
7,0.67,3,True,2.15
8,0.11,4,True,2.14
9,0.07,1,True,2.14
10,0.29,2,True,2.15
11,0.1,3,True,2.15
12,1.02,4,False,0
13,0.53,1,True,2.14
14,0.09,2,True,2.15
15,0.31,3,True,2.14
16,0.23,4,True,2.15
17,1.05,1,True,2.14
18,0.14,2,True,2.14
19,0.22,3,True,2.14
20,0.6,4,False,0
21,1.79,1,True,2.14
22,0.46,2,True,2.14
23,0.61,3,True,2.15
24,0.52,4,False,0
25,1.59,1,True,2.14
26,1.02,2,True,2.14
27,0.03,3,True,2.15
28,0.13,4,True,2.14
29,1.07,1,True,2.15
30,1.03,2,True,2.14
31,0.11,3,True,2.15
32,0.26,4,True,2.14
33,0.62,1,True,2.15
34,1.39,2,True,2.14
35,0.24,3,True,2.14
36,0.11,4,True,2.14
37,0.86,1,True,2.14
38,0.84,2,True,2.14
39,0.27,3,True,2.14
40,0.21,4,True,2.14
41,0.73,1,True,2.13
42,0.99,2,True,2.12
43,1.19,3,True,2.12
44,1.37,4,False,0
45,0.36,1,True,2.12
46,0.31,2,True,2.12
47,0.88,3,True,2.12
48,0.54,4,False,0
49,1.13,1,True,2.12
50,0.15,2,True,2.12
51,0.63,3,True,2.12
52,0.27,4,True,2.12
53,0.36,1,True,2.12
54,0.83,2,True,2.12
55,0.02,3,True,2.14
56,0.3,4,True,2.14
57,0.05,1,True,2.14
58,0.21,2,True,2.15
59,0.44,3,True,2.14
60,0.25,4,True,2.14
61,0.47,1,True,2.15
62,0.25,2,True,2.14
63,0.57,3,True,2.14
64,1.21,4,False,0
65,0.12,1,True,2.15
66,0.28,2,True,2.15
67,1.14,3,True,2.15
68,0.32,4,True,2.14
69,0.64,1,True,2.15
70,0.04,2,True,2.14
71,0.51,3,True,2.14
72,0.09,4,True,2.15
73,0.8,1,True,2.15
74,0.86,2,True,2.14
75,0.28,3,True,2.15
76,0.48,4,True,2.15
77,0.61,1,True,2.14
78,0.41,2,True,2.16
79,0.22,3,True,2.15
80,0.04,4,True,2.14
81,0.82,1,True,2.14
82,0.63,2,True,2.14
83,0.33,3,True,2.14
84,1.08,4,False,0
85,1.04,1,True,2.14
86,1.33,2,True,2.14
87,0.83,3,True,2.14
88,0.13,4,True,2.14
89,0.75,1,True,2.14
90,0.74,2,True,2.15
